task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
142	95/8b3a26	2125	MERGED_LIB_PLOTPROFILE (IK0_R1)	CACHED	0	2022-04-04 22:36:11.655	11m 7s	10m 58s	704.8%	3.5 GB	4.5 GB	4.2 GB	1.3 GB
147	85/e30cd7	2098	MERGED_LIB_PLOTFINGERPRINT (IK0_R3)	CACHED	0	2022-04-04 21:36:48.168	2m 20s	2m 15s	606.7%	1 GB	2.1 GB	46 GB	6.4 MB
141	87/853334	2120	MERGED_LIB_ATAQV (IK0_R2)	CACHED	0	2022-04-04 22:11:50.546	11m 3s	10m 58s	209.3%	187.7 MB	532.4 MB	22.8 GB	7.1 MB
140	cc/e13cb8	2090	MERGED_LIB_PLOTFINGERPRINT (IK0_R4)	CACHED	0	2022-04-04 21:28:34.911	2m 14s	2m 9s	735.2%	993.3 MB	2.1 GB	53.3 GB	6.5 MB
146	e4/238125	2099	MERGED_LIB_BIGWIG (IK0_R3)	CACHED	0	2022-04-04 21:36:50.002	9m 9s	9m 2s	103.4%	1.9 GB	1.9 GB	14.6 GB	8 GB
150	e0/d37a3f	2093	MERGED_LIB_MACS2 (IK0_R4)	CACHED	0	2022-04-04 21:28:36.230	18m 42s	18m 37s	114.2%	1.4 GB	1.7 GB	18.5 GB	10.1 GB
153	3a/68e663	2097	MERGED_LIB_PICARD_METRICS (IK0_R3)	CACHED	0	2022-04-04 21:36:47.548	10m 11s	10m 4s	99.4%	2.4 GB	39.3 GB	6.8 GB	837.6 KB
152	4d/c074e2	2092	MERGED_LIB_PICARD_METRICS (IK0_R4)	CACHED	0	2022-04-04 21:28:35.895	11m 23s	11m 14s	99.0%	2.4 GB	39.3 GB	7.2 GB	830.1 KB
155	76/fb885f	2113	MERGED_LIB_ATAQV (IK0_R4)	CACHED	0	2022-04-04 21:47:26.696	8m 52s	8m 49s	195.6%	147.3 MB	539.1 MB	21.8 GB	5.8 MB
156	48/13cf9b	2105	MERGED_LIB_PLOTPROFILE (IK0_R4)	CACHED	0	2022-04-04 21:39:14.829	10m 54s	10m 42s	701.9%	3.5 GB	4.5 GB	4.3 GB	1.3 GB
154	b2/832201	2112	MERGED_LIB_MACS2_ANNOTATE (IK0_R4)	CACHED	0	2022-04-04 21:47:24.568	3m 49s	3m 42s	99.9%	2.6 GB	2.6 GB	1.7 GB	378.3 MB
151	af/65865f	2100	MERGED_LIB_MACS2 (IK0_R3)	CACHED	0	2022-04-04 21:36:51.053	16m 53s	16m 46s	114.5%	1.3 GB	1.6 GB	16.2 GB	8.6 GB
157	92/8e4e3a	2106	MERGED_LIB_PLOTPROFILE (IK0_R3)	CACHED	0	2022-04-04 21:46:00.052	10m 35s	10m 30s	702.9%	3.5 GB	4.5 GB	4.3 GB	1.3 GB
158	34/da7e5e	2114	MERGED_LIB_MACS2_ANNOTATE (IK0_R3)	CACHED	0	2022-04-04 21:53:45.186	3m 49s	3m 43s	99.9%	2.6 GB	2.6 GB	1.7 GB	381.5 MB
159	49/5fbf72	2115	MERGED_LIB_ATAQV (IK0_R3)	CACHED	0	2022-04-04 21:53:45.573	8m 43s	8m 39s	214.6%	138.6 MB	722.4 MB	20.2 GB	6.3 MB
161	1a/43854a	2132	MERGED_LIB_ATAQV_MKARV	CACHED	0	2022-04-04 22:56:22.497	11.6s	3.9s	259.3%	468.5 MB	729.9 MB	131.3 MB	85 MB
162	12/99f620	2131	MERGED_LIB_MACS2_QC	CACHED	0	2022-04-04 22:46:00.717	1m 8s	1m 4s	106.1%	377.7 MB	655.2 MB	160.5 MB	10.2 MB
160	4c/01da86	2140	MERGED_LIB_CONSENSUS	COMPLETED	0	2022-04-05 10:56:18.993	16.2s	13.5s	85.0%	118.7 MB	2.1 GB	178.8 MB	109 MB
163	8a/47eb48	2141	MERGED_LIB_CONSENSUS_ANNOTATE	COMPLETED	0	2022-04-05 10:56:41.201	3m 45s	3m 43s	101.0%	2.5 GB	2.6 GB	1.7 GB	412.9 MB
164	75/541a5f	2142	MERGED_LIB_CONSENSUS_COUNTS	COMPLETED	0	2022-04-05 10:56:43.927	22m 17s	22m 12s	136.8%	59.4 MB	729.8 MB	39.4 GB	3.6 MB
165	cd/0ad61b	2143	MERGED_LIB_CONSENSUS_DESEQ2	COMPLETED	0	2022-04-05 11:20:21.285	1m 1s	54.5s	182.0%	3.4 GB	4.9 GB	220.9 MB	247.6 MB
166	3f/9c3694	2144	IGV	COMPLETED	0	2022-04-05 11:21:37.690	5.4s	354ms	44.7%	2.3 MB	9.4 MB	593.9 KB	10.6 KB
167	20/fd579c	2145	MULTIQC (1)	COMPLETED	0	2022-04-05 11:22:34.357	1m 10s	1m 1s	51.2%	1 GB	1.1 GB	866.2 MB	28.6 MB
