TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2957000000.0	196214473.6	187151188.9	206143195.4
2958000000.0	196219928.0	187155009.6	206149771.4
2959000000.0	196225379.0	187158827.7	206156343.3
2960000000.0	196230826.6	187162643.2	206162911.2
2961000000.0	196236270.8	187166456.1	206169475.1
2962000000.0	196241711.6	187170266.4	206176035.0
2963000000.0	196247149.1	187174074.0	206182590.9
2964000000.0	196252583.2	187177879.1	206189142.7
2965000000.0	196258013.9	187181681.6	206195690.6
2966000000.0	196263441.2	187185481.4	206202234.4
2967000000.0	196268865.2	187189278.7	206208774.3
2968000000.0	196274285.9	187193073.4	206215310.1
2969000000.0	196279703.1	187196865.4	206221842.0
2970000000.0	196285117.0	187200654.9	206228369.8
2971000000.0	196290527.6	187204441.8	206234893.7
2972000000.0	196295934.8	187208226.2	206241413.6
2973000000.0	196301338.7	187212007.9	206247929.6
2974000000.0	196306739.2	187215787.1	206254441.5
2975000000.0	196312136.4	187219563.7	206260949.5
2976000000.0	196317530.2	187223337.7	206267453.6
2977000000.0	196322920.7	187227109.1	206273953.6
2978000000.0	196328307.9	187230878.0	206280449.7
2979000000.0	196333691.8	187234644.3	206286941.9
2980000000.0	196339072.3	187238408.1	206293430.1
2981000000.0	196344449.5	187242169.3	206299914.3
2982000000.0	196349823.4	187245927.9	206306394.6
2983000000.0	196355194.0	187249684.0	206312871.0
2984000000.0	196360561.2	187253437.5	206319343.4
2985000000.0	196365925.2	187257188.5	206325811.9
2986000000.0	196371285.9	187260937.0	206332276.5
2987000000.0	196376643.2	187264682.9	206338737.1
2988000000.0	196381997.3	187268426.2	206345193.8
2989000000.0	196387348.0	187272167.0	206351646.6
2990000000.0	196392695.5	187275905.3	206358095.5
2991000000.0	196398039.6	187279641.0	206364540.5
2992000000.0	196403380.5	187283374.2	206370981.5
2993000000.0	196408718.1	187287104.9	206377418.7
2994000000.0	196414052.5	187290833.1	206383851.9
2995000000.0	196419383.5	187294558.7	206390281.3
2996000000.0	196424711.3	187298281.8	206396706.8
2997000000.0	196430035.8	187302002.4	206403128.3
2998000000.0	196435357.0	187305720.4	206409546.0
2999000000.0	196440674.9	187309436.0	206415959.8
3000000000.0	196445989.6	187313149.0	206422369.7
3001000000.0	196451301.1	187316859.6	206428775.8
3002000000.0	196456609.2	187320567.6	206435178.0
3003000000.0	196461914.2	187324273.1	206441576.3
3004000000.0	196467215.8	187327976.2	206447970.7
3005000000.0	196472514.3	187331676.7	206454361.3
3006000000.0	196477809.4	187335374.7	206460748.0
3007000000.0	196483101.4	187339070.2	206467130.9
3008000000.0	196488390.1	187342763.3	206473509.9
3009000000.0	196493675.5	187346453.8	206479885.0
3010000000.0	196498957.8	187350141.9	206486256.3
3011000000.0	196504236.8	187353827.5	206492623.8
3012000000.0	196509512.5	187357510.6	206498987.4
3013000000.0	196514785.1	187361191.2	206505347.2
3014000000.0	196520054.4	187364869.3	206511703.2
3015000000.0	196525320.5	187368545.0	206518055.4
3016000000.0	196530583.4	187372218.2	206524403.7
3017000000.0	196535843.1	187375888.9	206530748.2
3018000000.0	196541099.6	187379557.2	206537088.8
3019000000.0	196546352.8	187383223.0	206543425.7
3020000000.0	196551602.9	187386886.3	206549758.8
3021000000.0	196556849.8	187390547.2	206556088.0
3022000000.0	196562093.4	187394205.6	206562413.5
3023000000.0	196567333.9	187397861.6	206568735.1
3024000000.0	196572571.2	187401515.1	206575052.9
3025000000.0	196577805.2	187405166.1	206581367.0
3026000000.0	196583036.1	187408814.8	206587677.3
3027000000.0	196588263.9	187412460.9	206593983.7
3028000000.0	196593488.4	187416104.6	206600286.4
3029000000.0	196598709.8	187419745.9	206606585.3
3030000000.0	196603927.9	187423384.8	206612880.5
3031000000.0	196609143.0	187427021.2	206619171.8
3032000000.0	196614354.8	187430655.2	206625459.4
3033000000.0	196619563.5	187434286.7	206631743.3
3034000000.0	196624769.0	187437915.8	206638023.3
3035000000.0	196629971.3	187441542.5	206644299.6
3036000000.0	196635170.5	187445166.8	206650572.2
3037000000.0	196640366.6	187448788.6	206656841.0
3038000000.0	196645559.5	187452408.0	206663106.0
3039000000.0	196650749.2	187456025.1	206669367.3
3040000000.0	196655935.8	187459639.6	206675624.9
