TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8382000000.0	179733779.9	163964396.8	186387644.6
8383000000.0	179734277.2	163964534.2	186388213.6
8384000000.0	179734774.3	163964671.6	186388782.4
8385000000.0	179735271.4	163964809.0	186389351.2
8386000000.0	179735768.3	163964946.3	186389919.8
8387000000.0	179736265.1	163965083.6	186390488.2
8388000000.0	179736761.7	163965220.9	186391056.6
8389000000.0	179737258.3	163965358.1	186391624.8
8390000000.0	179737754.8	163965495.3	186392192.8
8391000000.0	179738251.1	163965632.4	186392760.8
8392000000.0	179738747.3	163965769.5	186393328.6
8393000000.0	179739243.4	163965906.5	186393896.2
8394000000.0	179739739.4	163966043.6	186394463.8
8395000000.0	179740235.3	163966180.5	186395031.2
8396000000.0	179740731.0	163966317.5	186395598.5
8397000000.0	179741226.7	163966454.3	186396165.6
8398000000.0	179741722.2	163966591.2	186396732.6
8399000000.0	179742217.6	163966728.0	186397299.5
8400000000.0	179742712.9	163966864.8	186397866.2
8401000000.0	179743208.1	163967001.5	186398432.9
8402000000.0	179743703.2	163967138.2	186398999.3
8403000000.0	179744198.1	163967274.8	186399565.7
8404000000.0	179744693.0	163967411.4	186400131.9
8405000000.0	179745187.7	163967548.0	186400698.0
8406000000.0	179745682.3	163967684.5	186401264.0
8407000000.0	179746176.8	163967821.0	186401829.8
8408000000.0	179746671.2	163967957.5	186402395.5
8409000000.0	179747165.4	163968093.9	186402961.1
8410000000.0	179747659.6	163968230.2	186403526.5
8411000000.0	179748153.6	163968366.6	186404091.8
8412000000.0	179748647.5	163968502.9	186404657.0
8413000000.0	179749141.3	163968639.1	186405222.0
8414000000.0	179749635.0	163968775.3	186405786.9
8415000000.0	179750128.6	163968911.5	186406351.7
8416000000.0	179750622.0	163969047.6	186406916.4
8417000000.0	179751115.4	163969183.7	186407480.9
8418000000.0	179751608.6	163969319.7	186408045.3
8419000000.0	179752101.7	163969455.7	186408609.5
8420000000.0	179752594.7	163969591.7	186409173.7
8421000000.0	179753087.6	163969727.6	186409737.7
8422000000.0	179753580.4	163969863.5	186410301.5
8423000000.0	179754073.0	163969999.4	186410865.3
8424000000.0	179754565.6	163970135.2	186411428.9
8425000000.0	179755058.0	163970270.9	186411992.3
8426000000.0	179755550.3	163970406.7	186412555.7
8427000000.0	179756042.5	163970542.4	186413118.9
8428000000.0	179756534.6	163970678.0	186413682.0
8429000000.0	179757026.6	163970813.6	186414244.9
8430000000.0	179757518.4	163970949.2	186414807.8
8431000000.0	179758010.2	163971084.7	186415370.5
8432000000.0	179758501.8	163971220.2	186415933.0
8433000000.0	179758993.3	163971355.6	186416495.5
8434000000.0	179759484.7	163971491.0	186417057.8
8435000000.0	179759976.0	163971626.4	186417619.9
8436000000.0	179760467.2	163971761.7	186418182.0
8437000000.0	179760958.2	163971897.0	186418743.9
8438000000.0	179761449.2	163972032.3	186419305.7
8439000000.0	179761940.0	163972167.5	186419867.3
8440000000.0	179762430.7	163972302.7	186420428.9
8441000000.0	179762921.3	163972437.8	186420990.3
8442000000.0	179763411.8	163972572.9	186421551.5
8443000000.0	179763902.2	163972707.9	186422112.7
8444000000.0	179764392.4	163972842.9	186422673.7
8445000000.0	179764882.6	163972977.9	186423234.5
8446000000.0	179765372.6	163973112.9	186423795.3
8447000000.0	179765862.6	163973247.7	186424355.9
8448000000.0	179766352.4	163973382.6	186424916.4
8449000000.0	179766842.1	163973517.4	186425476.8
8450000000.0	179767331.6	163973652.2	186426037.0
8451000000.0	179767821.1	163973786.9	186426597.1
8452000000.0	179768310.5	163973921.6	186427157.1
8453000000.0	179768799.7	163974056.3	186427716.9
8454000000.0	179769288.8	163974190.9	186428276.6
8455000000.0	179769777.9	163974325.5	186428836.2
8456000000.0	179770266.8	163974460.0	186429395.7
8457000000.0	179770755.6	163974594.5	186429955.0
8458000000.0	179771244.2	163974729.0	186430514.2
8459000000.0	179771732.8	163974863.4	186431073.3
8460000000.0	179772221.3	163974997.8	186431632.2
8461000000.0	179772709.6	163975132.1	186432191.0
8462000000.0	179773197.8	163975266.4	186432749.7
8463000000.0	179773685.9	163975400.7	186433308.2
8464000000.0	179774173.9	163975534.9	186433866.7
8465000000.0	179774661.8	163975669.1	186434425.0
8466000000.0	179775149.6	163975803.2	186434983.1
8467000000.0	179775637.3	163975937.3	186435541.2
8468000000.0	179776124.8	163976071.4	186436099.1
8469000000.0	179776612.2	163976205.4	186436656.9
8470000000.0	179777099.6	163976339.4	186437214.5
8471000000.0	179777586.8	163976473.4	186437772.0
8472000000.0	179778073.9	163976607.3	186438329.4
8473000000.0	179778560.9	163976741.1	186438886.7
8474000000.0	179779047.7	163976875.0	186439443.9
8475000000.0	179779534.5	163977008.8	186440000.9
8476000000.0	179780021.2	163977142.5	186440557.8
8477000000.0	179780507.7	163977276.2	186441114.5
8478000000.0	179780994.1	163977409.9	186441671.1
8479000000.0	179781480.4	163977543.5	186442227.6
8480000000.0	179781966.6	163977677.1	186442784.0
8481000000.0	179782452.7	163977810.7	186443340.3
8482000000.0	179782938.7	163977944.2	186443896.4
8483000000.0	179783424.6	163978077.7	186444452.4
8484000000.0	179783910.3	163978211.1	186445008.2
8485000000.0	179784396.0	163978344.6	186445564.0
8486000000.0	179784881.5	163978477.9	186446119.6
8487000000.0	179785366.9	163978611.2	186446675.1
8488000000.0	179785852.2	163978744.5	186447230.4
8489000000.0	179786337.4	163978877.8	186447785.6
8490000000.0	179786822.5	163979011.0	186448340.7
8491000000.0	179787307.5	163979144.2	186448895.7
8492000000.0	179787792.3	163979277.3	186449450.5
8493000000.0	179788277.1	163979410.4	186450005.3
8494000000.0	179788761.7	163979543.4	186450559.8
8495000000.0	179789246.2	163979676.4	186451114.3
8496000000.0	179789730.7	163979809.4	186451668.6
8497000000.0	179790215.0	163979942.4	186452222.8
8498000000.0	179790699.2	163980075.3	186452776.9
8499000000.0	179791183.2	163980208.1	186453330.9
8500000000.0	179791667.2	163980340.9	186453884.7
8501000000.0	179792151.1	163980473.7	186454438.4
8502000000.0	179792634.8	163980606.5	186454992.0
8503000000.0	179793118.4	163980739.2	186455545.4
8504000000.0	179793602.0	163980871.8	186456098.7
8505000000.0	179794085.4	163981004.5	186456651.9
8506000000.0	179794568.7	163981137.1	186457205.0
8507000000.0	179795051.9	163981269.6	186457757.9
8508000000.0	179795534.9	163981402.1	186458310.7
8509000000.0	179796017.9	163981534.6	186458863.4
8510000000.0	179796500.8	163981667.0	186459416.0
8511000000.0	179796983.5	163981799.4	186459968.4
8512000000.0	179797466.1	163981931.8	186460520.7
8513000000.0	179797948.7	163982064.1	186461072.9
8514000000.0	179798431.1	163982196.4	186461624.9
8515000000.0	179798913.4	163982328.6	186462176.8
8516000000.0	179799395.6	163982460.8	186462728.6
8517000000.0	179799877.7	163982593.0	186463280.3
8518000000.0	179800359.6	163982725.1	186463831.8
8519000000.0	179800841.5	163982857.2	186464383.3
8520000000.0	179801323.2	163982989.3	186464934.6
8521000000.0	179801804.9	163983121.3	186465485.7
8522000000.0	179802286.4	163983253.3	186466036.8
8523000000.0	179802767.8	163983385.2	186466587.7
8524000000.0	179803249.1	163983517.1	186467138.5
8525000000.0	179803730.3	163983648.9	186467689.1
8526000000.0	179804211.4	163983780.8	186468239.7
8527000000.0	179804692.4	163983912.6	186468790.1
8528000000.0	179805173.2	163984044.3	186469340.4
8529000000.0	179805654.0	163984176.0	186469890.5
8530000000.0	179806134.6	163984307.7	186470440.5
8531000000.0	179806615.2	163984439.3	186470990.5
8532000000.0	179807095.6	163984570.9	186471540.2
8533000000.0	179807575.9	163984702.4	186472089.9
8534000000.0	179808056.1	163984834.0	186472639.4
8535000000.0	179808536.2	163984965.4	186473188.8
8536000000.0	179809016.2	163985096.9	186473738.1
8537000000.0	179809496.1	163985228.3	186474287.3
8538000000.0	179809975.8	163985359.6	186474836.3
8539000000.0	179810455.5	163985491.0	186475385.2
8540000000.0	179810935.0	163985622.3	186475934.0
8541000000.0	179811414.5	163985753.5	186476482.6
8542000000.0	179811893.8	163985884.7	186477031.1
8543000000.0	179812373.0	163986015.9	186477579.5
8544000000.0	179812852.1	163986147.0	186478127.8
8545000000.0	179813331.1	163986278.1	186478676.0
